target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,zero_shot_reconstruction_loss,zero_shot_decoder_r2,zero_shot_gcn_gru_reconstruction_loss,zero_shot_gcn_gru_decoder_r2,zero_shot_bilstm_reconstruction_loss,zero_shot_bilstm_decoder_r2,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,calibrated_reconstruction_loss,calibrated_decoder_r2,calibrated_gcn_gru_reconstruction_loss,calibrated_gcn_gru_decoder_r2,calibrated_bilstm_reconstruction_loss,calibrated_bilstm_decoder_r2,delta_ece,delta_f1,delta_reconstruction_loss,delta_macro_f1,delta_roc_auc,delta_balanced_accuracy,delta_macro_recall,delta_accuracy,delta_brier_score,delta_bilstm_reconstruction_loss,delta_gcn_gru_reconstruction_loss,delta_bilstm_decoder_r2,delta_gcn_gru_decoder_r2,delta_recall,delta_macro_precision,delta_joint_loss,delta_loss,delta_precision,delta_decoder_r2
0,3,1,"[12, 14, 17]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16]",3,15,10,0.6949188889949587,0.4,0.4,0.75,0.2727272727272727,0.4,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.4318181818181818,0.2508858319163755,0.1037329395612081,0.818617582321167,0.650165319442749,0.2846946716308594,0.8184694647789001,0.1815304160118103,0.6121410727500916,0.3878588080406189,0.6951970239803954,0.4,0.4,0.75,0.2727272727272727,0.4,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.4090909090909091,0.25102487219743286,0.10391789277394614,0.5593624711036682,0.650165319442749,0.2846946716308594,0.8184694647789001,0.1815304160118103,0.6121410727500916,0.3878588080406189,0.0001849532127380371,0.0,0.0,0.0,-0.022727272727272707,0.0,0.0,0.0,0.00013904028105737876,0.0,0.0,0.0,0.0,0.0,0.0,-0.2592551112174988,0.00027813498543671766,0.0,0.0
0,3,2,"[4, 15, 16]","[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17]",3,15,10,0.6930020553721193,0.5333333333333333,0.5882352941176471,0.8333333333333334,0.45454545454545453,0.5248868778280543,0.5833333333333334,0.6022727272727273,0.6022727272727273,0.5227272727272727,0.24992746675561428,0.029986214637756303,0.5542231798171997,0.6560589671134949,0.27802783250808716,0.8300415277481079,0.16995835304260254,0.6139026284217834,0.3860973119735718,0.6930814958960646,0.5333333333333333,0.5882352941176471,0.8333333333333334,0.45454545454545453,0.5248868778280543,0.5833333333333334,0.6022727272727273,0.6022727272727273,0.5,0.2499671916237208,0.029990851879119873,0.5529647469520569,0.6560589671134949,0.27802783250808716,0.8300415277481079,0.16995835304260254,0.6139026284217834,0.3860973119735718,4.6372413635697995e-06,0.0,0.0,0.0,-0.022727272727272707,0.0,0.0,0.0,3.972486810652209e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012584328651428223,7.944052394526224e-05,0.0,0.0
0,3,3,"[6, 7, 9]","[0, 1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17]",3,15,10,0.6939966110632564,0.4666666666666667,0.5,0.8,0.36363636363636365,0.4642857142857143,0.55,0.5568181818181819,0.5568181818181819,0.4545454545454546,0.250424729833523,0.03656935294469199,0.5523960590362549,0.6587684154510498,0.276261568069458,0.8302887678146362,0.16971123218536377,0.6171880960464478,0.38281190395355225,0.6938509007241019,0.5333333333333333,0.5882352941176471,0.8333333333333334,0.45454545454545453,0.5248868778280543,0.5833333333333334,0.6022727272727273,0.6022727272727273,0.4318181818181818,0.2503518730188166,0.030351746082305953,0.5512640476226807,0.6587684154510498,0.276261568069458,0.8302887678146362,0.16971123218536377,0.6171880960464478,0.38281190395355225,-0.006217606862386038,0.08823529411764708,0.0,0.06060116354234002,-0.022727272727272763,0.045454545454545414,0.045454545454545414,0.06666666666666665,-7.285681470636796e-05,0.0,0.0,0.0,0.0,0.09090909090909088,0.033333333333333326,-0.0011320114135742188,-0.00014571033915444787,0.033333333333333326,0.0
0,3,4,"[2, 5, 13]","[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]",3,15,10,0.6931323093028203,0.6,0.625,1.0,0.45454545454545453,0.5982142857142857,0.7,0.7272727272727273,0.7272727272727273,0.5909090909090908,0.24999256173877768,0.09639504353205364,0.5537238121032715,0.6642816662788391,0.27125269174575806,0.834234893321991,0.16576510667800903,0.6232597231864929,0.3767402768135071,0.6931430845391986,0.6,0.625,1.0,0.45454545454545453,0.5982142857142857,0.7,0.7272727272727273,0.7272727272727273,0.5227272727272727,0.2499979393024713,0.09666297435760496,0.5543211102485657,0.6642816662788391,0.27125269174575806,0.834234893321991,0.16576510667800903,0.6232597231864929,0.3767402768135071,0.0002679308255513213,0.0,0.0,0.0,-0.06818181818181812,0.0,0.0,0.0,5.377563693620413e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0005972981452941895,1.0775236378268715e-05,0.0,0.0
0,3,5,"[0, 8, 11]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17]",3,15,10,0.6936060834441962,0.5333333333333333,0.5882352941176471,0.8333333333333334,0.45454545454545453,0.5248868778280543,0.5833333333333334,0.6022727272727273,0.6022727272727273,0.4772727272727273,0.2502294611287352,0.029825882116953473,0.5467656254768372,0.6638692021369934,0.2699425220489502,0.8413444757461548,0.15865552425384521,0.6187704205513,0.38122957944869995,0.6933322401448847,0.5333333333333333,0.5882352941176471,0.8333333333333334,0.45454545454545453,0.5248868778280543,0.5833333333333334,0.6022727272727273,0.6022727272727273,0.4772727272727273,0.2500925523920937,0.02995841900507612,0.5463365316390991,0.6638692021369934,0.2699425220489502,0.8413444757461548,0.15865552425384521,0.6187704205513,0.38122957944869995,0.0001325368881226474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001369087366414612,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004290938377380371,-0.00027384329931146034,0.0,0.0
0,3,6,"[1, 3, 10]","[0, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17]",3,15,10,0.6952752800708527,0.4666666666666667,0.42857142857142855,0.75,0.3,0.4642857142857143,0.5568181818181819,0.55,0.55,0.45999999999999996,0.25106396507841094,0.03648321231206253,0.5567205548286438,0.6636654138565063,0.27163368463516235,0.835399329662323,0.164600670337677,0.6213332414627075,0.3786667585372925,0.695444231568765,0.4666666666666667,0.42857142857142855,0.75,0.3,0.4642857142857143,0.5568181818181819,0.55,0.55,0.42000000000000004,0.25114842972429163,0.036476651827494266,0.556206464767456,0.6636654138565063,0.27163368463516235,0.835399329662323,0.164600670337677,0.6213332414627075,0.3786667585372925,-6.560484568263192e-06,0.0,0.0,0.0,-0.039999999999999925,0.0,0.0,0.0,8.446464588068858e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005140900611877441,0.00016895149791229525,0.0,0.0
0,6,1,"[2, 4, 7, 12, 13, 16]","[0, 1, 3, 5, 6, 8, 9, 10, 11, 14, 15, 17]",6,12,10,0.6947518340339597,0.5,0.5714285714285714,0.8,0.4444444444444444,0.4857142857142857,0.5428571428571429,0.5555555555555556,0.5555555555555556,0.4444444444444445,0.25080229811065236,0.0038231263558069495,0.5697895884513855,0.6579567193984985,0.27676260471343994,0.8288054466247559,0.17119449377059937,0.6176691055297852,0.3823307752609253,0.6950262950853312,0.4166666666666667,0.46153846153846156,0.75,0.3333333333333333,0.4125874125874126,0.5,0.5,0.5,0.40740740740740744,0.2509395133014712,0.08725736538569134,0.5698832869529724,0.6579567193984985,0.27676260471343994,0.8288054466247559,0.17119449377059937,0.6176691055297852,0.3823307752609253,0.0834342390298844,-0.10989010989010983,0.0,-0.0731268731268731,-0.037037037037037035,-0.05555555555555558,-0.05555555555555558,-0.08333333333333331,0.00013721519081882905,0.0,0.0,0.0,0.0,-0.1111111111111111,-0.04285714285714293,9.369850158691406e-05,0.00027446105137152177,-0.050000000000000044,0.0
0,6,2,"[0, 3, 8, 9, 10, 11]","[1, 2, 4, 5, 6, 7, 12, 13, 14, 15, 16, 17]",6,12,10,0.6953736151408977,0.5,0.5,0.75,0.375,0.5,0.5625,0.5625,0.5625,0.40625,0.25111313358456183,0.0030490110317865637,0.5587887167930603,0.65878826379776,0.27447861433029175,0.8410164713859558,0.15898346900939941,0.6100262999534607,0.38997364044189453,0.6950133354822596,0.4166666666666667,0.46153846153846156,0.6,0.375,0.4125874125874126,0.44285714285714284,0.4375,0.4375,0.4375,0.2509330008245274,0.08633093039194745,0.5562065243721008,0.65878826379776,0.27447861433029175,0.8410164713859558,0.15898346900939941,0.6100262999534607,0.38997364044189453,0.08328191936016088,-0.038461538461538436,0.0,-0.0874125874125874,0.03125,-0.125,-0.125,-0.08333333333333331,-0.0001801327600344238,0.0,0.0,0.0,0.0,0.0,-0.11964285714285716,-0.0025821924209594727,-0.0003602796586380519,-0.15000000000000002,0.0
0,6,3,"[1, 5, 6, 14, 15, 17]","[0, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 16]",6,12,10,0.6918401649492442,0.5,0.5,1.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6296296296296297,0.24934657653050407,0.0034170448780059814,0.576729416847229,0.6616456508636475,0.274666428565979,0.825067400932312,0.1749325394630432,0.6255996227264404,0.3744003176689148,0.6921488496253222,0.5,0.5,1.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.24950090046644355,0.0031966169675191614,0.5746191740036011,0.6616456508636475,0.274666428565979,0.825067400932312,0.1749325394630432,0.6255996227264404,0.3744003176689148,-0.0002204279104868201,0.0,0.0,0.0,-0.07407407407407407,0.0,0.0,0.0,0.00015432393593947658,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021102428436279297,0.0003086846760780304,0.0,0.0
0,9,1,"[2, 6, 7, 8, 12, 13, 14, 15, 17]","[0, 1, 3, 4, 5, 9, 10, 11, 16]",9,9,10,0.6928633248403142,0.4444444444444444,0.5454545454545454,0.75,0.42857142857142855,0.41558441558441556,0.475,0.4642857142857143,0.4642857142857143,0.42857142857142855,0.2498581546920853,0.059056487348344566,0.6015474796295166,0.6576873064041138,0.2763429880142212,0.8280870318412781,0.17191290855407715,0.6192268133163452,0.38077312707901,0.6929673107139919,0.5555555555555556,0.6666666666666666,0.8,0.5714285714285714,0.5,0.525,0.5357142857142857,0.5357142857142857,0.42857142857142855,0.2499101620809427,0.051977382765875935,0.6039980053901672,0.6576873064041138,0.2763429880142212,0.8280870318412781,0.17191290855407715,0.6192268133163452,0.38077312707901,-0.007079104582468632,0.12121212121212122,0.0,0.08441558441558444,0.0,0.0714285714285714,0.0714285714285714,0.11111111111111116,5.200738885738354e-05,0.0,0.0,0.0,0.0,0.14285714285714285,0.050000000000000044,0.0024505257606506348,0.00010398587367765888,0.050000000000000044,0.0
