target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,zero_shot_reconstruction_loss,zero_shot_decoder_r2,zero_shot_gcn_gru_reconstruction_loss,zero_shot_gcn_gru_decoder_r2,zero_shot_bilstm_reconstruction_loss,zero_shot_bilstm_decoder_r2,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,calibrated_reconstruction_loss,calibrated_decoder_r2,calibrated_gcn_gru_reconstruction_loss,calibrated_gcn_gru_decoder_r2,calibrated_bilstm_reconstruction_loss,calibrated_bilstm_decoder_r2,delta_decoder_r2,delta_joint_loss,delta_macro_recall,delta_bilstm_reconstruction_loss,delta_f1,delta_accuracy,delta_recall,delta_precision,delta_gcn_gru_reconstruction_loss,delta_roc_auc,delta_loss,delta_ece,delta_reconstruction_loss,delta_brier_score,delta_bilstm_decoder_r2,delta_macro_precision,delta_balanced_accuracy,delta_macro_f1,delta_gcn_gru_decoder_r2
0,3,1,"[4, 9, 13]","[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17]",3,15,10,0.6918692600340131,0.7333333333333333,0.7142857142857143,1.0,0.5555555555555556,0.7321428571428572,0.8,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.24936100248600354,0.22950344085693353,1.1695172786712646,0.6259702444076538,0.2779788374900818,0.7940630912780762,0.20593690872192383,0.6499792337417603,0.35002076625823975,0.6917221073688132,0.7333333333333333,0.7142857142857143,1.0,0.5555555555555556,0.7321428571428572,0.8,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.2492874238414806,0.22948360443115234,0.4483262598514557,0.6259702444076538,0.2779788374900818,0.7940630912780762,0.20593690872192383,0.6499792337417603,0.35002076625823975,0.0,-0.721191018819809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001471526651998234,-1.9836425781183387e-05,0.0,-7.35786445229536e-05,0.0,0.0,0.0,0.0,0.0
0,3,2,"[1, 11, 15]","[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17]",3,15,10,0.691115751602347,0.8,0.8,1.0,0.6666666666666666,0.8,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.7592592592592592,0.2489842763158677,0.2967554569244385,0.44589120149612427,0.6285644769668579,0.2763909101486206,0.7860960960388184,0.21390384435653687,0.6611220240592957,0.33887791633605957,0.6912884159933976,0.7333333333333333,0.7142857142857143,1.0,0.5555555555555556,0.7321428571428572,0.8,0.7777777777777778,0.7777777777777778,0.7407407407407407,0.24907060944949452,0.23014056285222362,0.44465190172195435,0.6285644769668579,0.2763909101486206,0.7860960960388184,0.21390384435653687,0.6611220240592957,0.33887791633605957,0.0,-0.0012392997741699219,-0.05555555555555547,0.0,-0.08571428571428574,-0.06666666666666676,-0.11111111111111105,0.0,0.0,-0.01851851851851849,0.00017266439105068088,-0.06661489407221488,0.0,8.633313362682582e-05,0.0,-0.033333333333333215,-0.05555555555555547,-0.06785714285714284,0.0
0,3,3,"[2, 10, 17]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]",3,15,10,0.6902403679101092,0.8666666666666667,0.875,1.0,0.7777777777777778,0.8660714285714286,0.875,0.8888888888888888,0.8888888888888888,0.7962962962962963,0.2485466009293688,0.363417935371399,0.4533328115940094,0.631240725517273,0.2741846442222595,0.7862182855606079,0.2137817144393921,0.665412425994873,0.33458757400512695,0.6901980623134845,0.8666666666666667,0.875,1.0,0.7777777777777778,0.8660714285714286,0.875,0.8888888888888888,0.8888888888888888,0.7962962962962963,0.24852544456525413,0.36342171827952074,0.45248186588287354,0.631240725517273,0.2741846442222595,0.7862182855606079,0.2137817144393921,0.665412425994873,0.33458757400512695,0.0,-0.0008509457111358643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.230559662476985e-05,3.782908121752193e-06,0.0,-2.115636411467725e-05,0.0,0.0,0.0,0.0,0.0
0,3,4,"[0, 8, 12]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17]",3,15,10,0.6919604382852944,0.7333333333333333,0.7142857142857143,1.0,0.5555555555555556,0.7321428571428572,0.8,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.24940658795423593,0.2295493205388387,0.44566115736961365,0.6383105516433716,0.2665782570838928,0.8086463212966919,0.19135355949401855,0.6581971049308777,0.34180283546447754,0.6919691377906966,0.7333333333333333,0.7142857142857143,1.0,0.5555555555555556,0.7321428571428572,0.8,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.2494109379727522,0.22961836258570345,0.4441380202770233,0.6383105516433716,0.2665782570838928,0.8086463212966919,0.19135355949401855,0.6581971049308777,0.34180283546447754,0.0,-0.001523137092590332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.699505402165464e-06,6.904204686475346e-05,0.0,4.350018516285914e-06,0.0,0.0,0.0,0.0,0.0
0,3,5,"[6, 7, 16]","[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 17]",3,15,10,0.6925552948514327,0.7333333333333333,0.75,1.0,0.6,0.7321428571428572,0.7777777777777778,0.8,0.8,0.6599999999999999,0.24970398974235344,0.22984960476557403,0.44610723853111267,0.6339281797409058,0.272061288356781,0.7909412980079651,0.20905882120132446,0.664936363697052,0.33506375551223755,0.6926640938916344,0.7333333333333333,0.75,1.0,0.6,0.7321428571428572,0.7777777777777778,0.8,0.8,0.6599999999999999,0.24975838130590536,0.2298410892486572,0.4451850652694702,0.6339281797409058,0.272061288356781,0.7909412980079651,0.20905882120132446,0.664936363697052,0.33506375551223755,0.0,-0.0009221732616424561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010879904020166808,-8.515516916829391e-06,0.0,5.4391563551914324e-05,0.0,0.0,0.0,0.0,0.0
0,3,6,"[3, 5, 14]","[0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]",3,15,10,0.6912654250002949,0.8,0.8,1.0,0.6666666666666666,0.8,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.7407407407407408,0.2490590937399256,0.2966944336891175,0.44328397512435913,0.6375269889831543,0.26868361234664917,0.8016941547393799,0.1983059048652649,0.6609387993812561,0.33906126022338867,0.6911752910448862,0.8,0.8,1.0,0.6666666666666666,0.8,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.7407407407407408,0.24901401160639777,0.2965171257654826,0.4410182237625122,0.6375269889831543,0.26868361234664917,0.8016941547393799,0.1983059048652649,0.6609387993812561,0.33906126022338867,0.0,-0.002265751361846924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.013395540868885e-05,-0.00017730792363490622,0.0,-4.5082133527829527e-05,0.0,0.0,0.0,0.0,0.0
0,6,1,"[2, 3, 5, 10, 14, 17]","[0, 1, 4, 6, 7, 8, 9, 11, 12, 13, 15, 16]",6,12,10,0.6896306067171324,0.9166666666666666,0.9230769230769231,1.0,0.8571428571428571,0.916083916083916,0.9166666666666667,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.24824173054467927,0.41369791328907013,0.46852490305900574,0.6370812654495239,0.2696130871772766,0.7929757237434387,0.2070242166519165,0.6677980422973633,0.33220189809799194,0.6897748551246631,0.9166666666666666,0.9230769230769231,1.0,0.8571428571428571,0.916083916083916,0.9166666666666667,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.24831384386627176,0.413823793331782,0.4688231647014618,0.6370812654495239,0.2696130871772766,0.7929757237434387,0.2070242166519165,0.6677980422973633,0.33220189809799194,0.0,0.0002982616424560547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014424840753068935,0.0001258800427118567,0.0,7.21133215924874e-05,0.0,0.0,0.0,0.0,0.0
0,6,2,"[0, 6, 7, 11, 12, 16]","[1, 2, 3, 4, 5, 8, 9, 10, 13, 14, 15, 17]",6,12,10,0.6936703460663924,0.6666666666666666,0.6,1.0,0.42857142857142855,0.6571428571428571,0.7777777777777778,0.7142857142857143,0.7142857142857143,0.5142857142857142,0.2502614888817281,0.16294558346271515,0.4514075219631195,0.6277003288269043,0.2777888774871826,0.7763659954071045,0.22363394498825073,0.668056070804596,0.3319438695907593,0.6937918313334421,0.6666666666666666,0.6,1.0,0.42857142857142855,0.6571428571428571,0.7777777777777778,0.7142857142857143,0.7142857142857143,0.5142857142857142,0.25032220088057544,0.16281496485074354,0.4507054090499878,0.6277003288269043,0.2777888774871826,0.7763659954071045,0.22363394498825073,0.668056070804596,0.3319438695907593,0.0,-0.0007021129131317139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012148526704969242,-0.0001306186119716113,0.0,6.071199884732925e-05,0.0,0.0,0.0,0.0,0.0
0,6,3,"[1, 4, 8, 9, 13, 15]","[0, 2, 3, 5, 6, 7, 10, 11, 12, 14, 16, 17]",6,12,10,0.6912023160582209,0.75,0.7692307692307693,1.0,0.625,0.7482517482517483,0.7857142857142857,0.8125,0.8125,0.78125,0.2490275561574701,0.24624159932136536,0.46780869364738464,0.6330093145370483,0.27052897214889526,0.8144879937171936,0.18551194667816162,0.6444540619850159,0.35554587841033936,0.6916375208900715,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,0.75,0.75,0.75,0.75,0.24924513735414258,0.16281666358311964,0.46592310070991516,0.6330093145370483,0.27052897214889526,0.8144879937171936,0.18551194667816162,0.6444540619850159,0.35554587841033936,0.0,-0.0018855929374694824,-0.0625,0.0,-0.10256410256410264,-0.08333333333333337,-0.125,0.0,0.0,-0.03125,0.00043520483185055525,-0.08342493573824572,0.0,0.00021758119667247833,0.0,-0.0357142857142857,-0.0625,-0.08158508158508171,0.0
0,9,1,"[0, 4, 7, 8, 9, 10, 11, 14, 16]","[1, 2, 3, 5, 6, 12, 13, 15, 17]",9,9,10,0.695712868764113,0.5555555555555556,0.5,1.0,0.3333333333333333,0.55,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.4444444444444445,0.2512827050391485,0.05153042740292024,0.4883212149143219,0.6208624243736267,0.2804095149040222,0.7952269911766052,0.20477294921875,0.6439538598060608,0.35604608058929443,0.6961155456763388,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5,0.5,0.5,0.4444444444444445,0.25148401648620716,0.05968148840798271,0.48351454734802246,0.6208624243736267,0.2804095149040222,0.7952269911766052,0.20477294921875,0.6439538598060608,0.35604608058929443,0.0,-0.0048066675662994385,-0.16666666666666663,0.0,-0.05555555555555558,-0.11111111111111116,0.0,-0.33333333333333337,0.0,0.0,0.0004026769122258411,0.008151061005062465,0.0,0.00020131144705864967,0.0,-0.2142857142857143,-0.16666666666666663,-0.10555555555555562,0.0
