target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,zero_shot_reconstruction_loss,zero_shot_decoder_r2,zero_shot_gcn_gru_reconstruction_loss,zero_shot_gcn_gru_decoder_r2,zero_shot_bilstm_reconstruction_loss,zero_shot_bilstm_decoder_r2,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,calibrated_reconstruction_loss,calibrated_decoder_r2,calibrated_gcn_gru_reconstruction_loss,calibrated_gcn_gru_decoder_r2,calibrated_bilstm_reconstruction_loss,calibrated_bilstm_decoder_r2,delta_brier_score,delta_roc_auc,delta_macro_recall,delta_bilstm_reconstruction_loss,delta_recall,delta_balanced_accuracy,delta_gcn_gru_decoder_r2,delta_ece,delta_loss,delta_decoder_r2,delta_precision,delta_f1,delta_macro_f1,delta_reconstruction_loss,delta_gcn_gru_reconstruction_loss,delta_joint_loss,delta_bilstm_decoder_r2,delta_accuracy,delta_macro_precision
0,3,1,"[12, 14, 17]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16]",3,15,10,0.694408910459631,0.4666666666666667,0.42857142857142855,1.0,0.2727272727272727,0.4642857142857143,0.6666666666666666,0.6363636363636364,0.6363636363636364,0.5909090909090909,0.25063085624048315,0.03544807036717734,0.9777036905288696,0.6517965197563171,0.2603020668029785,0.8080072999000549,0.1919926404953003,0.6713883876800537,0.3286115527153015,0.6944438744638125,0.4,0.4,0.75,0.2727272727272727,0.4,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5227272727272727,0.25064833499085404,0.10200024445851641,0.7157835960388184,0.6517965197563171,0.2603020668029785,0.8080072999000549,0.1919926404953003,0.6713883876800537,0.3286115527153015,1.747875037089175e-05,-0.06818181818181823,-0.125,0.0,0.0,-0.125,0.0,0.06655217409133907,3.4964004181459174e-05,0.0,-0.25,-0.028571428571428525,-0.06428571428571428,0.0,0.0,-0.26192009449005127,0.0,-0.06666666666666665,-0.15530303030303028
0,3,2,"[4, 15, 16]","[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17]",3,15,10,0.6931356960779806,0.5333333333333333,0.5333333333333333,1.0,0.36363636363636365,0.5333333333333333,0.6818181818181819,0.6818181818181819,0.6818181818181819,0.7954545454545454,0.24999428096624202,0.030827112992604544,0.7020282745361328,0.6588419079780579,0.2534179091453552,0.8231359124183655,0.17686402797698975,0.6700282096862793,0.3299717307090759,0.6929764083306957,0.6,0.625,1.0,0.45454545454545453,0.5982142857142857,0.7,0.7272727272727273,0.7272727272727273,0.8181818181818181,0.2499146292706163,0.0975192149480184,0.6929168105125427,0.6588419079780579,0.2534179091453552,0.8231359124183655,0.17686402797698975,0.6700282096862793,0.3299717307090759,-7.965169562570984e-05,0.022727272727272707,0.045454545454545414,0.0,0.09090909090909088,0.045454545454545414,0.0,0.06669210195541386,-0.00015928774728490858,0.0,0.0,0.09166666666666667,0.06488095238095237,0.0,0.0,-0.009111464023590088,0.0,0.06666666666666665,0.018181818181818077
0,3,3,"[6, 7, 9]","[0, 1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17]",3,15,10,0.6949148419938266,0.4666666666666667,0.42857142857142855,1.0,0.2727272727272727,0.4642857142857143,0.6666666666666666,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.2508838096301191,0.0357731143633524,0.7141062617301941,0.6653942465782166,0.2511027455329895,0.824298083782196,0.17570191621780396,0.6734964847564697,0.3265035152435303,0.6948678409270439,0.4666666666666667,0.5,0.8,0.36363636363636365,0.4642857142857143,0.55,0.5568181818181819,0.5568181818181819,0.5227272727272727,0.2508603203648238,0.035723213354746486,0.7077569961547852,0.6653942465782166,0.2511027455329895,0.824298083782196,0.17570191621780396,0.6734964847564697,0.3265035152435303,-2.3489265295273398e-05,-0.022727272727272707,-0.07954545454545447,0.0,0.09090909090909094,-0.07954545454545447,0.0,-4.990100860591262e-05,-4.7001066782681455e-05,0.0,-0.19999999999999996,0.07142857142857145,0.0,0.0,0.0,-0.0063492655754089355,0.0,0.0,-0.11666666666666659
0,3,4,"[2, 5, 13]","[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]",3,15,10,0.694101020746579,0.4666666666666667,0.42857142857142855,1.0,0.2727272727272727,0.4642857142857143,0.6666666666666666,0.6363636363636364,0.6363636363636364,0.7045454545454546,0.2504769323148285,0.03605078856150312,0.7113086581230164,0.6689665913581848,0.24725496768951416,0.8271217942237854,0.1728782057762146,0.678368330001831,0.32163166999816895,0.6940991090839812,0.4666666666666667,0.42857142857142855,1.0,0.2727272727272727,0.4642857142857143,0.6666666666666666,0.6363636363636364,0.6363636363636364,0.6818181818181819,0.2504759856492236,0.03598660230636597,0.7110545635223389,0.6689665913581848,0.24725496768951416,0.8271217942237854,0.1728782057762146,0.678368330001831,0.32163166999816895,-9.466656049061939e-07,-0.022727272727272707,0.0,0.0,0.0,0.0,0.0,-6.418625513715526e-05,-1.911662597775532e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.00025409460067749023,0.0,0.0,0.0
0,3,5,"[0, 8, 11]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17]",3,15,10,0.6933509851792868,0.5333333333333333,0.5333333333333333,1.0,0.36363636363636365,0.5333333333333333,0.6818181818181819,0.6818181818181819,0.6818181818181819,0.7045454545454546,0.2501019323439613,0.03087028662363689,0.7014591097831726,0.6674898862838745,0.24520844221115112,0.8364370465278625,0.16356295347213745,0.6731460690498352,0.3268539309501648,0.6931739132156516,0.5333333333333333,0.5882352941176471,0.8333333333333334,0.45454545454545453,0.5248868778280543,0.5833333333333334,0.6022727272727273,0.6022727272727273,0.7045454545454546,0.2500134021414191,0.031014994780222516,0.6971774697303772,0.6674898862838745,0.24520844221115112,0.8364370465278625,0.16356295347213745,0.6731460690498352,0.3268539309501648,-8.85302025421808e-05,0.0,-0.07954545454545459,0.0,0.09090909090909088,-0.07954545454545459,0.0,0.00014470815658562675,-0.0001770719636352558,0.0,-0.16666666666666663,0.05490196078431375,-0.008446455505279005,0.0,0.0,-0.00428164005279541,0.0,0.0,-0.09848484848484851
0,3,6,"[1, 3, 10]","[0, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17]",3,15,10,0.693148996215918,0.5333333333333333,0.46153846153846156,1.0,0.3,0.5248868778280543,0.7083333333333334,0.65,0.65,0.7,0.2500009334897682,0.030858107407887747,0.7197508215904236,0.6681850552558899,0.24763637781143188,0.8286780118942261,0.17132198810577393,0.6760492324829102,0.32395076751708984,0.6927033239096367,0.4666666666666667,0.5555555555555556,0.625,0.5,0.4444444444444444,0.45535714285714285,0.45,0.45,0.62,0.2497780950202328,0.03572922945022583,0.7093786597251892,0.6681850552558899,0.24763637781143188,0.8286780118942261,0.17132198810577393,0.6760492324829102,0.32395076751708984,-0.00022283846953541353,-0.07999999999999996,-0.2,0.0,0.2,-0.2,0.0,0.004871122042338083,-0.00044567230628123067,0.0,-0.375,0.09401709401709402,-0.0804424333836099,0.0,0.0,-0.010372161865234375,0.0,-0.06666666666666665,-0.2529761904761905
0,6,1,"[2, 4, 7, 12, 13, 16]","[0, 1, 3, 5, 6, 8, 9, 10, 11, 14, 15, 17]",6,12,10,0.6939216121232582,0.5,0.5,1.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7037037037037037,0.2503872122590245,0.0021720826625823975,0.7064879536628723,0.6629074215888977,0.25192511081695557,0.8222457766532898,0.17775410413742065,0.67390376329422,0.32609617710113525,0.6940386067179856,0.5833333333333334,0.6153846153846154,1.0,0.4444444444444444,0.5804195804195804,0.6875,0.7222222222222222,0.7222222222222222,0.7037037037037037,0.25044570585034026,0.08094098170598352,0.7028316259384155,0.6629074215888977,0.25192511081695557,0.8222457766532898,0.17775410413742065,0.67390376329422,0.32609617710113525,5.8493591315766924e-05,0.0,0.05555555555555558,0.0,0.1111111111111111,0.05555555555555558,0.0,0.07876889904340112,0.00011699459472735985,0.0,0.0,0.11538461538461542,0.08041958041958042,0.0,0.0,-0.003656327724456787,0.0,0.08333333333333337,0.02083333333333337
0,6,2,"[0, 3, 8, 9, 10, 11]","[1, 2, 4, 5, 6, 7, 12, 13, 14, 15, 16, 17]",6,12,10,0.6925412079508672,0.5833333333333334,0.5454545454545454,1.0,0.375,0.5804195804195804,0.7222222222222222,0.6875,0.6875,0.6875,0.24969706771616776,0.08074907958507538,0.72477126121521,0.6603239178657532,0.2505849003791809,0.8361629247665405,0.1638370156288147,0.6626671552658081,0.3373327851295471,0.6909623402083458,0.5833333333333334,0.6666666666666666,0.7142857142857143,0.625,0.5555555555555556,0.5571428571428572,0.5625,0.5625,0.6875,0.24890761199819544,0.08111616969108582,0.7016457319259644,0.6603239178657532,0.2505849003791809,0.8361629247665405,0.1638370156288147,0.6626671552658081,0.3373327851295471,-0.000789455717972315,0.0,-0.125,0.0,0.25,-0.125,0.0,0.000367090106010437,-0.0015788677425213615,0.0,-0.2857142857142857,0.12121212121212122,-0.024864024864024836,0.0,0.0,-0.023125529289245605,0.0,0.0,-0.16507936507936505
0,6,3,"[1, 5, 6, 14, 15, 17]","[0, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 16]",6,12,10,0.695067405262486,0.4166666666666667,0.36363636363636365,1.0,0.2222222222222222,0.4125874125874126,0.65,0.6111111111111112,0.6111111111111112,0.6296296296296297,0.25096009251750884,0.08593523005644482,0.7508454322814941,0.667104184627533,0.24994945526123047,0.8154304027557373,0.18456953763961792,0.6846706867218018,0.31532925367355347,0.6946953296586164,0.5,0.5714285714285714,0.8,0.4444444444444444,0.4857142857142857,0.5428571428571429,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.25077405785999,0.00249544282754266,0.7416844367980957,0.667104184627533,0.24994945526123047,0.8154304027557373,0.18456953763961792,0.6846706867218018,0.31532925367355347,-0.00018603465751881876,-0.07407407407407407,-0.05555555555555558,0.0,0.2222222222222222,-0.05555555555555558,0.0,-0.08343978722890216,-0.0003720756038696482,0.0,-0.19999999999999996,0.20779220779220775,0.0731268731268731,0.0,0.0,-0.009160995483398438,0.0,0.08333333333333331,-0.1071428571428571
0,9,1,"[2, 6, 7, 8, 12, 13, 14, 15, 17]","[0, 1, 3, 4, 5, 9, 10, 11, 16]",9,9,10,0.6965492947679011,0.3333333333333333,0.25,1.0,0.14285714285714285,0.325,0.625,0.5714285714285714,0.5714285714285714,0.3571428571428571,0.25170098573938926,0.16870999998516506,0.7623249888420105,0.6601620316505432,0.25218284130096436,0.8194209337234497,0.18057900667190552,0.6762132048606873,0.32378673553466797,0.6962841261392776,0.4444444444444444,0.5454545454545454,0.75,0.42857142857142855,0.41558441558441556,0.475,0.4642857142857143,0.4642857142857143,0.21428571428571427,0.25156842648651967,0.05749899811214876,0.7450305819511414,0.6601620316505432,0.25218284130096436,0.8194209337234497,0.18057900667190552,0.6762132048606873,0.32378673553466797,-0.0001325592528695907,-0.14285714285714282,-0.1071428571428571,0.0,0.2857142857142857,-0.1071428571428571,0.0,-0.1112110018730163,-0.0002651686286234689,0.0,-0.25,0.2954545454545454,0.09058441558441555,0.0,0.0,-0.01729440689086914,0.0,0.1111111111111111,-0.15000000000000002
