rank,configuration_id,status,selection_level,selection_metric,selection_score,configuration_dir,hyperparameters_json,losocv_loss,losocv_accuracy,losocv_f1,losocv_precision,losocv_recall,losocv_macro_f1,losocv_macro_precision,losocv_macro_recall,losocv_balanced_accuracy,losocv_roc_auc,losocv_brier_score,losocv_ece,losocv_joint_loss,losocv_reconstruction_loss,losocv_decoder_r2,losocv_gcn_gru_reconstruction_loss,losocv_gcn_gru_decoder_r2,losocv_bilstm_reconstruction_loss,losocv_bilstm_decoder_r2,paired_zero_shot_loss,paired_zero_shot_accuracy,paired_zero_shot_f1,paired_zero_shot_precision,paired_zero_shot_recall,paired_zero_shot_macro_f1,paired_zero_shot_macro_precision,paired_zero_shot_macro_recall,paired_zero_shot_balanced_accuracy,paired_zero_shot_roc_auc,paired_zero_shot_brier_score,paired_zero_shot_ece,paired_zero_shot_joint_loss,paired_zero_shot_reconstruction_loss,paired_zero_shot_decoder_r2,paired_zero_shot_gcn_gru_reconstruction_loss,paired_zero_shot_gcn_gru_decoder_r2,paired_zero_shot_bilstm_reconstruction_loss,paired_zero_shot_bilstm_decoder_r2,calibration_loss,calibration_accuracy,calibration_f1,calibration_precision,calibration_recall,calibration_macro_f1,calibration_macro_precision,calibration_macro_recall,calibration_balanced_accuracy,calibration_roc_auc,calibration_brier_score,calibration_ece,calibration_joint_loss,calibration_reconstruction_loss,calibration_decoder_r2,calibration_gcn_gru_reconstruction_loss,calibration_gcn_gru_decoder_r2,calibration_bilstm_reconstruction_loss,calibration_bilstm_decoder_r2,calibration_delta_loss,calibration_delta_accuracy,calibration_delta_f1,calibration_delta_precision,calibration_delta_recall,calibration_delta_macro_f1,calibration_delta_macro_precision,calibration_delta_macro_recall,calibration_delta_balanced_accuracy,calibration_delta_roc_auc,calibration_delta_brier_score,calibration_delta_ece,calibration_delta_joint_loss,calibration_delta_reconstruction_loss,calibration_delta_decoder_r2,calibration_delta_gcn_gru_reconstruction_loss,calibration_delta_gcn_gru_decoder_r2,calibration_delta_bilstm_reconstruction_loss,calibration_delta_bilstm_decoder_r2,calibration_3_shot_loss,calibration_3_shot_accuracy,calibration_3_shot_f1,calibration_3_shot_precision,calibration_3_shot_recall,calibration_3_shot_macro_f1,calibration_3_shot_macro_precision,calibration_3_shot_macro_recall,calibration_3_shot_balanced_accuracy,calibration_3_shot_roc_auc,calibration_3_shot_brier_score,calibration_3_shot_ece,calibration_3_shot_joint_loss,calibration_3_shot_reconstruction_loss,calibration_3_shot_decoder_r2,calibration_3_shot_gcn_gru_reconstruction_loss,calibration_3_shot_gcn_gru_decoder_r2,calibration_3_shot_bilstm_reconstruction_loss,calibration_3_shot_bilstm_decoder_r2,calibration_6_shot_loss,calibration_6_shot_accuracy,calibration_6_shot_f1,calibration_6_shot_precision,calibration_6_shot_recall,calibration_6_shot_macro_f1,calibration_6_shot_macro_precision,calibration_6_shot_macro_recall,calibration_6_shot_balanced_accuracy,calibration_6_shot_roc_auc,calibration_6_shot_brier_score,calibration_6_shot_ece,calibration_6_shot_joint_loss,calibration_6_shot_reconstruction_loss,calibration_6_shot_decoder_r2,calibration_6_shot_gcn_gru_reconstruction_loss,calibration_6_shot_gcn_gru_decoder_r2,calibration_6_shot_bilstm_reconstruction_loss,calibration_6_shot_bilstm_decoder_r2,calibration_9_shot_loss,calibration_9_shot_accuracy,calibration_9_shot_f1,calibration_9_shot_precision,calibration_9_shot_recall,calibration_9_shot_macro_f1,calibration_9_shot_macro_precision,calibration_9_shot_macro_recall,calibration_9_shot_balanced_accuracy,calibration_9_shot_roc_auc,calibration_9_shot_brier_score,calibration_9_shot_ece,calibration_9_shot_joint_loss,calibration_9_shot_reconstruction_loss,calibration_9_shot_decoder_r2,calibration_9_shot_gcn_gru_reconstruction_loss,calibration_9_shot_gcn_gru_decoder_r2,calibration_9_shot_bilstm_reconstruction_loss,calibration_9_shot_bilstm_decoder_r2,calibration_12_shot_loss,calibration_12_shot_accuracy,calibration_12_shot_f1,calibration_12_shot_precision,calibration_12_shot_recall,calibration_12_shot_macro_f1,calibration_12_shot_macro_precision,calibration_12_shot_macro_recall,calibration_12_shot_balanced_accuracy,calibration_12_shot_roc_auc,calibration_12_shot_brier_score,calibration_12_shot_ece,calibration_12_shot_joint_loss,calibration_12_shot_reconstruction_loss,calibration_12_shot_decoder_r2,calibration_12_shot_gcn_gru_reconstruction_loss,calibration_12_shot_gcn_gru_decoder_r2,calibration_12_shot_bilstm_reconstruction_loss,calibration_12_shot_bilstm_decoder_r2
1,6,completed,calibration,brier_score,0.24863103741871712,runs/full/sic_trial_bigru_v15_joint_best_v11/DREAMER/valence/suite_81133/users_0_3/dreamer_valence_sic_trial_bigru_v15_mldg_best_v11_users_0_3_20260907_031739/configuration_0006,"{""bilstm_dropout"": 0.2, ""bilstm_units"": 63, ""calibration_unfreeze_layers"": 2, ""calibration_use_vc_target"": true, ""calibration_vc_alpha"": 1.0, ""calibration_vc_beta"": 0.3, ""calibration_vc_gamma"": 0.0, ""calibration_vc_lambda"": 0.05, ""classification_level"": ""trial"", ""classifier_rnn_dropout"": 0.4, ""classifier_rnn_type"": ""bigru"", ""classifier_rnn_units"": [128, 64], ""decoder_dropout"": 0.1, ""focal_alpha"": null, ""focal_gamma"": 0.5, ""gcn_activation"": ""relu"", ""gcn_dropout"": 0.1, ""gcn_units"": [128, 64], ""gcn_use_batch_norm"": false, ""joint_reconstruction_auxiliary_weight"": 0.25, ""joint_reconstruction_initial_alpha"": 0.5, ""learning_rate"": 0.0001, ""mi_band_reduction"": ""mean"", ""mi_max_observations"": 15000, ""mi_n_neighbors"": 3, ""mi_random_state"": 42, ""mi_zero_diagonal"": false, ""mldg_inner_learning_rate"": 0.0001, ""mldg_meta_test_subjects"": 4, ""mldg_meta_test_weight"": 1.0, ""mldg_meta_train_subjects"": 8, ""mldg_seed"": 42, ""mldg_steps_per_epoch"": 20, ""mldg_trials_per_subject"": 3, ""n_bands"": 3, ""n_bilstm_layers"": 1, ""n_channels"": 14, ""n_classes"": 2, ""n_classifier_rnn_layers"": 2, ""optimizer_name"": ""adamw"", ""reconstruction_loss_weight"": 0.6, ""remove_median_label"": false, ""spectral_gru_dropout"": 0.2, ""spectral_gru_units"": 384, ""subject_adversarial_weight"": 0.6, ""subject_dropout"": 0.0, ""subject_hidden_units"": 64, ""subject_loss_weight"": 1.2, ""training_method"": ""mldg"", ""update_vc_discriminator"": false, ""use_bilstm_branch"": true, ""use_decoder"": true, ""use_gcn_gru_branch"": true, ""use_subject_adversarial"": true, ""vc_alpha"": 1.0, ""vc_beta"": 0.3, ""vc_gamma"": 0.0, ""vc_lambda"": 0.05, ""vc_loss_weight"": 1.0, ""vrex_penalty_weight"": 1.0, ""weight_decay"": 5e-05}",0.691608594768947,0.5555555555555556,0.3647912885662432,0.3666666666666667,0.36428571428571427,0.44081475405596626,0.40555555555555556,0.5415178571428572,0.5415178571428572,0.580944055944056,0.24923074769980139,0.16500544051329297,1.272572636604309,0.680919885635376,0.24976542592048645,0.794317752122879,0.20568224787712097,0.7061513960361481,0.29384860396385193,0.6909303578776624,0.5833333333333334,0.3535353535353536,0.35555555555555557,0.3555555555555555,0.4186327561327562,0.37916666666666665,0.5111111111111111,0.5111111111111111,0.5569444444444445,0.24889165080575976,0.1647422338525454,0.9757752468188603,0.6834766815106075,0.24660261472066244,0.8011018832524618,0.19889806707700095,0.7056927978992462,0.2943071722984314,0.6904090758271179,0.611111111111111,0.5086940836940836,0.49722222222222223,0.5430555555555556,0.45712481962481966,0.4708333333333333,0.49375,0.49375,0.548611111111111,0.24863103741871712,0.16406343297825918,0.9445127447446187,0.6834766815106075,0.24660261472066244,0.8011018832524618,0.19889806707700095,0.7056927978992462,0.2943071722984314,-0.0005212820505445618,0.02777777777777778,0.15515873015873013,0.14166666666666664,0.1875,0.038492063492063494,0.09166666666666667,-0.017361111111111112,-0.017361111111111112,-0.008333333333333338,-0.00026061338704266623,-0.0006788008742862374,-0.03126250207424164,0.0,0.0,0.0,0.0,0.0,0.0,0.6914031888626859,0.5777777777777777,0.4404913443110038,0.5426321363821364,0.4339015151515152,0.45744245549199114,0.4814826377326378,0.5374368686868687,0.5374368686868687,0.5860865600448935,0.24912805627835324,0.15365541378657022,0.8699230179190636,0.6809200992186865,0.2497653489311536,0.7943177868922552,0.20568221807479858,0.7061515375971794,0.29384846736987436,0.6912723025397155,0.5555555555555556,0.4269712743396954,0.47944925444925446,0.44140211640211646,0.41825133930397085,0.4198382635882636,0.5033399470899471,0.5033399470899471,0.6014577821869489,0.24906261903042992,0.13699937322073513,0.8822585145632427,0.6809198707342148,0.24976537624994916,0.79431780676047,0.205682173371315,0.7061514010032018,0.2938485791285833,0.6912979421975025,0.5833333333333333,0.44880952380952377,0.5526785714285715,0.4529761904761905,0.4732142857142857,0.5112103174603175,0.549404761904762,0.549404761904762,0.5651785714285714,0.24907544006457016,0.16466320637199616,0.9119107499718666,0.680919885635376,0.24976538121700287,0.7943177968263626,0.2056821808218956,0.7061514109373093,0.29384856671094894,0.6904090758271179,0.611111111111111,0.5086940836940836,0.49722222222222223,0.5430555555555556,0.45712481962481966,0.4708333333333333,0.49375,0.49375,0.548611111111111,0.24863103741871712,0.16406343297825918,0.9445127447446187,0.6834766815106075,0.24660261472066244,0.8011018832524618,0.19889806707700095,0.7056927978992462,0.2943071722984314
2,2,completed,calibration,brier_score,0.24883147051959337,runs/full/sic_trial_bigru_v15_joint_best_v11/DREAMER/valence/suite_81133/users_0_3/dreamer_valence_sic_trial_bigru_v15_mldg_best_v11_users_0_3_20260907_031739/configuration_0002,"{""bilstm_dropout"": 0.2, ""bilstm_units"": 63, ""calibration_unfreeze_layers"": 2, ""calibration_use_vc_target"": true, ""calibration_vc_alpha"": 1.0, ""calibration_vc_beta"": 0.3, ""calibration_vc_gamma"": 0.0, ""calibration_vc_lambda"": 0.05, ""classification_level"": ""trial"", ""classifier_rnn_dropout"": 0.4, ""classifier_rnn_type"": ""bigru"", ""classifier_rnn_units"": [128, 64], ""decoder_dropout"": 0.1, ""focal_alpha"": null, ""focal_gamma"": 0.5, ""gcn_activation"": ""relu"", ""gcn_dropout"": 0.1, ""gcn_units"": [128, 64], ""gcn_use_batch_norm"": false, ""joint_reconstruction_auxiliary_weight"": 0.25, ""joint_reconstruction_initial_alpha"": 0.5, ""learning_rate"": 0.0001, ""mi_band_reduction"": ""mean"", ""mi_max_observations"": 15000, ""mi_n_neighbors"": 3, ""mi_random_state"": 42, ""mi_zero_diagonal"": false, ""mldg_inner_learning_rate"": 0.0001, ""mldg_meta_test_subjects"": 4, ""mldg_meta_test_weight"": 1.0, ""mldg_meta_train_subjects"": 8, ""mldg_seed"": 42, ""mldg_steps_per_epoch"": 20, ""mldg_trials_per_subject"": 3, ""n_bands"": 3, ""n_bilstm_layers"": 1, ""n_channels"": 14, ""n_classes"": 2, ""n_classifier_rnn_layers"": 2, ""optimizer_name"": ""adamw"", ""reconstruction_loss_weight"": 0.6, ""remove_median_label"": false, ""spectral_gru_dropout"": 0.2, ""spectral_gru_units"": 384, ""subject_adversarial_weight"": 0.6, ""subject_dropout"": 0.0, ""subject_hidden_units"": 64, ""subject_loss_weight"": 0.2, ""training_method"": ""mldg"", ""update_vc_discriminator"": false, ""use_bilstm_branch"": true, ""use_decoder"": true, ""use_gcn_gru_branch"": true, ""use_subject_adversarial"": true, ""vc_alpha"": 1.0, ""vc_beta"": 0.3, ""vc_gamma"": 0.0, ""vc_lambda"": 0.05, ""vc_loss_weight"": 1.0, ""vrex_penalty_weight"": 1.0, ""weight_decay"": 5e-05}",0.693133114749011,0.5694444444444444,0.6087662337662338,0.6840277777777778,0.5832417582417582,0.5543831168831169,0.5836805555555555,0.5910526973026973,0.5910526973026973,0.5551667082917082,0.24999291639352256,0.06724138806263608,0.9646783322095871,0.6736944913864136,0.24855755269527435,0.7869172394275665,0.21308276057243347,0.7159676849842072,0.28403231501579285,0.6913040785957824,0.6805555555555556,0.6957010582010581,0.8166666666666667,0.7305555555555555,0.6599537037037038,0.7576388888888889,0.7506944444444443,0.7506944444444443,0.7569444444444444,0.24907844586788244,0.1794094873799218,0.6515306880076726,0.6765186736981075,0.24544620017210644,0.7938361565272013,0.20616379876931507,0.7152713636557261,0.28472859660784405,0.6908100724289381,0.6944444444444444,0.7179232804232804,0.8166666666666667,0.7513888888888889,0.6750330687830688,0.7618055555555555,0.7611111111111111,0.7611111111111111,0.7974537037037037,0.24883147051959337,0.19259538667069542,0.6465380837519963,0.6765186736981075,0.24544620017210644,0.7938361565272013,0.20616379876931507,0.7152713636557261,0.28472859660784405,-0.0004940061668442612,0.013888888888888886,0.022222222222222216,0.0,0.020833333333333332,0.015079365079365076,0.00416666666666667,0.010416666666666666,0.010416666666666666,0.04050925925925925,-0.00024697534828905843,0.0131858992907736,-0.0049926042556762695,0.0,0.0,0.0,0.0,0.0,0.0,0.693046711685707,0.5611111111111111,0.6001459822570504,0.680632215007215,0.5730218855218855,0.5452826425881767,0.5760717291967292,0.5839646464646465,0.5839646464646465,0.5593691879108545,0.24994972027213866,0.07893933239910336,0.5687179217735926,0.6736960659424464,0.2485581288735072,0.786917229493459,0.21308277547359467,0.7159665276606878,0.2840334797898928,0.6928388050161328,0.5694444444444444,0.6073534716917071,0.6890873015873016,0.5941468253968254,0.5458190842382019,0.5853670634920636,0.5860119047619047,0.5860119047619047,0.5566964285714285,0.24984576788995347,0.06875342420405811,0.5826651304960251,0.6736944963534673,0.24855752289295197,0.7869171996911367,0.21308277547359467,0.7159676899512608,0.28403230011463165,0.6928680837862292,0.5694444444444444,0.6034090909090909,0.6892857142857143,0.5839285714285714,0.5530438311688312,0.5967261904761905,0.600297619047619,0.600297619047619,0.5684523809523809,0.24986041321659408,0.10816444042656159,0.6149446070194244,0.6736944764852524,0.24855752289295197,0.7869172170758247,0.21308275312185287,0.7159676924347878,0.28403228521347046,0.6908100724289381,0.6944444444444444,0.7179232804232804,0.8166666666666667,0.7513888888888889,0.6750330687830688,0.7618055555555555,0.7611111111111111,0.7611111111111111,0.7974537037037037,0.24883147051959337,0.19259538667069542,0.6465380837519963,0.6765186736981075,0.24544620017210644,0.7938361565272013,0.20616379876931507,0.7152713636557261,0.28472859660784405
3,5,completed,calibration,brier_score,0.2489050712060156,runs/full/sic_trial_bigru_v15_joint_best_v11/DREAMER/valence/suite_81133/users_0_3/dreamer_valence_sic_trial_bigru_v15_mldg_best_v11_users_0_3_20260907_031739/configuration_0005,"{""bilstm_dropout"": 0.2, ""bilstm_units"": 63, ""calibration_unfreeze_layers"": 2, ""calibration_use_vc_target"": true, ""calibration_vc_alpha"": 1.0, ""calibration_vc_beta"": 0.3, ""calibration_vc_gamma"": 0.0, ""calibration_vc_lambda"": 0.05, ""classification_level"": ""trial"", ""classifier_rnn_dropout"": 0.4, ""classifier_rnn_type"": ""bigru"", ""classifier_rnn_units"": [128, 64], ""decoder_dropout"": 0.1, ""focal_alpha"": null, ""focal_gamma"": 0.5, ""gcn_activation"": ""relu"", ""gcn_dropout"": 0.1, ""gcn_units"": [128, 64], ""gcn_use_batch_norm"": false, ""joint_reconstruction_auxiliary_weight"": 0.25, ""joint_reconstruction_initial_alpha"": 0.5, ""learning_rate"": 0.0001, ""mi_band_reduction"": ""mean"", ""mi_max_observations"": 15000, ""mi_n_neighbors"": 3, ""mi_random_state"": 42, ""mi_zero_diagonal"": false, ""mldg_inner_learning_rate"": 0.0001, ""mldg_meta_test_subjects"": 4, ""mldg_meta_test_weight"": 1.0, ""mldg_meta_train_subjects"": 8, ""mldg_seed"": 42, ""mldg_steps_per_epoch"": 20, ""mldg_trials_per_subject"": 3, ""n_bands"": 3, ""n_bilstm_layers"": 1, ""n_channels"": 14, ""n_classes"": 2, ""n_classifier_rnn_layers"": 2, ""optimizer_name"": ""adamw"", ""reconstruction_loss_weight"": 0.4, ""remove_median_label"": false, ""spectral_gru_dropout"": 0.2, ""spectral_gru_units"": 384, ""subject_adversarial_weight"": 0.6, ""subject_dropout"": 0.0, ""subject_hidden_units"": 64, ""subject_loss_weight"": 1.2, ""training_method"": ""mldg"", ""update_vc_discriminator"": false, ""use_bilstm_branch"": true, ""use_decoder"": true, ""use_gcn_gru_branch"": true, ""use_subject_adversarial"": true, ""vc_alpha"": 1.0, ""vc_beta"": 0.3, ""vc_gamma"": 0.0, ""vc_lambda"": 0.05, ""vc_loss_weight"": 1.0, ""vrex_penalty_weight"": 1.0, ""weight_decay"": 5e-05}",0.692674539596775,0.4861111111111111,0.5511204481792717,0.6369658119658119,0.5947802197802198,0.3939812767212148,0.42562576312576317,0.4678446553446553,0.4678446553446553,0.4605051198801199,0.24976371362981228,0.043321455518404675,1.046142265200615,0.6837521344423294,0.2512909024953842,0.802950918674469,0.197049081325531,0.6944672167301178,0.3055327832698822,0.6915251007055029,0.5555555555555556,0.6007575757575757,0.6736111111111112,0.6833333333333333,0.4486922799422799,0.4847222222222222,0.5291666666666667,0.5291666666666667,0.5930555555555556,0.24918902377391494,0.08422552049160004,0.8794123629728954,0.6853815168142319,0.24812259276707965,0.8090606778860092,0.1909392774105072,0.6946940620740255,0.3053058882554372,0.6909571632738508,0.625,0.6391774891774892,0.6041666666666666,0.75,0.4636363636363636,0.44097222222222227,0.5416666666666667,0.5416666666666667,0.5266203703703703,0.2489050712060156,0.15226833687888253,0.8521931320428848,0.6853815168142319,0.24812259276707965,0.8090606778860092,0.1909392774105072,0.6946940620740255,0.3053058882554372,-0.0005679374316521398,0.06944444444444445,0.03841991341991342,-0.06944444444444445,0.06666666666666667,0.014944083694083697,-0.04375,0.0125,0.0125,-0.06643518518518518,-0.00028395256789932877,0.0680428163872825,-0.02721923093001048,0.0,0.0,0.0,0.0,0.0,0.0,0.6925140194102711,0.5111111111111111,0.5688048456350886,0.5960966117216117,0.6251262626262626,0.3968500514416435,0.3992079679579679,0.4619844276094276,0.4619844276094276,0.4385592031425365,0.24968345981495652,0.09082627428902518,0.7793461357553799,0.6837533786892891,0.25129026422897977,0.8029509310921034,0.1970490763584773,0.6944685702522595,0.30553143719832104,0.6923313463148724,0.5416666666666667,0.5989846410899042,0.5974446849446851,0.6668981481481481,0.41692858798121957,0.4064108345358345,0.4802744708994709,0.4802744708994709,0.4380842151675486,0.24959212707548784,0.09612176194787028,0.7906904369592667,0.683752159277598,0.2512909024953842,0.802950938542684,0.1970490465561549,0.6944672465324402,0.30553274353345233,0.6923589458406112,0.5416666666666667,0.6032873376623377,0.5816468253968254,0.6741071428571428,0.4143060064935065,0.3970734126984127,0.4662202380952381,0.4662202380952381,0.38720238095238096,0.24960592075852667,0.10979679806364907,0.8218203112483025,0.6837521493434906,0.2512908950448036,0.8029509261250496,0.19704905152320862,0.6944672241806984,0.3055327534675598,0.6909571632738508,0.625,0.6391774891774892,0.6041666666666666,0.75,0.4636363636363636,0.44097222222222227,0.5416666666666667,0.5416666666666667,0.5266203703703703,0.2489050712060156,0.15226833687888253,0.8521931320428848,0.6853815168142319,0.24812259276707965,0.8090606778860092,0.1909392774105072,0.6946940620740255,0.3053058882554372
4,1,completed,calibration,brier_score,0.24905866378482303,runs/full/sic_trial_bigru_v15_joint_best_v11/DREAMER/valence/suite_81133/users_0_3/dreamer_valence_sic_trial_bigru_v15_mldg_best_v11_users_0_3_20260907_031739/configuration_0001,"{""bilstm_dropout"": 0.2, ""bilstm_units"": 63, ""calibration_unfreeze_layers"": 2, ""calibration_use_vc_target"": true, ""calibration_vc_alpha"": 1.0, ""calibration_vc_beta"": 0.3, ""calibration_vc_gamma"": 0.0, ""calibration_vc_lambda"": 0.05, ""classification_level"": ""trial"", ""classifier_rnn_dropout"": 0.4, ""classifier_rnn_type"": ""bigru"", ""classifier_rnn_units"": [128, 64], ""decoder_dropout"": 0.1, ""focal_alpha"": null, ""focal_gamma"": 0.5, ""gcn_activation"": ""relu"", ""gcn_dropout"": 0.1, ""gcn_units"": [128, 64], ""gcn_use_batch_norm"": false, ""joint_reconstruction_auxiliary_weight"": 0.25, ""joint_reconstruction_initial_alpha"": 0.5, ""learning_rate"": 0.0001, ""mi_band_reduction"": ""mean"", ""mi_max_observations"": 15000, ""mi_n_neighbors"": 3, ""mi_random_state"": 42, ""mi_zero_diagonal"": false, ""mldg_inner_learning_rate"": 0.0001, ""mldg_meta_test_subjects"": 4, ""mldg_meta_test_weight"": 1.0, ""mldg_meta_train_subjects"": 8, ""mldg_seed"": 42, ""mldg_steps_per_epoch"": 20, ""mldg_trials_per_subject"": 3, ""n_bands"": 3, ""n_bilstm_layers"": 1, ""n_channels"": 14, ""n_classes"": 2, ""n_classifier_rnn_layers"": 2, ""optimizer_name"": ""adamw"", ""reconstruction_loss_weight"": 0.4, ""remove_median_label"": false, ""spectral_gru_dropout"": 0.2, ""spectral_gru_units"": 384, ""subject_adversarial_weight"": 0.6, ""subject_dropout"": 0.0, ""subject_hidden_units"": 64, ""subject_loss_weight"": 0.2, ""training_method"": ""mldg"", ""update_vc_discriminator"": false, ""use_bilstm_branch"": true, ""use_decoder"": true, ""use_gcn_gru_branch"": true, ""use_subject_adversarial"": true, ""vc_alpha"": 1.0, ""vc_beta"": 0.3, ""vc_gamma"": 0.0, ""vc_lambda"": 0.05, ""vc_loss_weight"": 1.0, ""vrex_penalty_weight"": 1.0, ""weight_decay"": 5e-05}",0.6917349413257642,0.6388888888888888,0.5889202172096909,0.7083333333333334,0.5711538461538461,0.5708762306092028,0.6302083333333334,0.6085882867132867,0.6085882867132867,0.5619973776223776,0.2492938908449623,0.13705651130941182,0.8587469458580017,0.6829423904418945,0.2581152617931366,0.8012126535177231,0.19878734648227692,0.682556763291359,0.31744323670864105,0.6915159268313548,0.6666666666666666,0.5972883597883598,0.6347222222222222,0.6166666666666667,0.5507275132275132,0.5638888888888889,0.6104166666666666,0.6104166666666666,0.46365740740740735,0.24918439087748454,0.164201150337855,0.6839685986439387,0.6848838229974111,0.2549039125442505,0.8074991355339687,0.19250082969665527,0.6826929499705632,0.3173070102930069,0.6912644686987597,0.6666666666666666,0.6042328042328042,0.6138888888888889,0.6375000000000001,0.547255291005291,0.5534722222222223,0.6,0.6,0.4335648148148148,0.24905866378482303,0.16422809246513578,0.6758848826090496,0.6848838229974111,0.2549039125442505,0.8074991355339687,0.19250082969665527,0.6826929499705632,0.3173070102930069,-0.0002514581325951855,0.0,0.0069444444444444475,-0.020833333333333332,0.020833333333333332,-0.003472222222222219,-0.010416666666666666,-0.010416666666666666,-0.010416666666666666,-0.03009259259259259,-0.0001257270926615257,2.694212728076202e-05,-0.008083716034889221,0.0,0.0,0.0,0.0,0.0,0.0,0.6917169093147355,0.6527777777777778,0.6000410995535677,0.716240934990935,0.5911195286195285,0.5821369840671311,0.6627547221297221,0.6228084415584416,0.6228084415584416,0.5523589065255732,0.24928487686810819,0.16088029742240906,0.5939403648177782,0.6829423407713572,0.2581169580419858,0.8012126237154007,0.1987873787681262,0.6825534701347352,0.3174465323487918,0.6916181681643967,0.6388888888888888,0.5848693109722521,0.7046927609427609,0.5753637566137566,0.5745564688579394,0.6544657888407889,0.6098544973544974,0.6098544973544974,0.5630401234567902,0.24923551251334633,0.16529133377803698,0.6082383344570796,0.6829423755407333,0.258115291595459,0.8012126137812933,0.1987873762845993,0.6825567682584126,0.31744321187337243,0.691666326514139,0.6388888888888888,0.5917735042735043,0.625297619047619,0.594047619047619,0.5497176434676434,0.5638888888888889,0.5938988095238096,0.5938988095238096,0.5515873015873016,0.24925959445223492,0.14980479909314048,0.6347962468862534,0.6829423755407333,0.2581153139472008,0.8012125641107559,0.1987874135375023,0.6825567483901978,0.31744322925806046,0.6912644686987597,0.6666666666666666,0.6042328042328042,0.6138888888888889,0.6375000000000001,0.547255291005291,0.5534722222222223,0.6,0.6,0.4335648148148148,0.24905866378482303,0.16422809246513578,0.6758848826090496,0.6848838229974111,0.2549039125442505,0.8074991355339687,0.19250082969665527,0.6826929499705632,0.3173070102930069
