target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,zero_shot_reconstruction_loss,zero_shot_decoder_r2,zero_shot_gcn_gru_reconstruction_loss,zero_shot_gcn_gru_decoder_r2,zero_shot_bilstm_reconstruction_loss,zero_shot_bilstm_decoder_r2,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,calibrated_reconstruction_loss,calibrated_decoder_r2,calibrated_gcn_gru_reconstruction_loss,calibrated_gcn_gru_decoder_r2,calibrated_bilstm_reconstruction_loss,calibrated_bilstm_decoder_r2,delta_loss,delta_f1,delta_bilstm_reconstruction_loss,delta_precision,delta_roc_auc,delta_gcn_gru_decoder_r2,delta_bilstm_decoder_r2,delta_brier_score,delta_gcn_gru_reconstruction_loss,delta_macro_f1,delta_balanced_accuracy,delta_reconstruction_loss,delta_joint_loss,delta_recall,delta_accuracy,delta_decoder_r2,delta_ece,delta_macro_precision,delta_macro_recall
0,3,1,"[12, 14, 17]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16]",3,15,10,0.6952774311797867,0.26666666666666666,0.0,0.0,0.0,0.21052631578947367,0.13333333333333333,0.5,0.5,0.22727272727272727,0.251065114465571,0.2349831263224284,1.2692527770996094,0.6280107498168945,0.2809930443763733,0.787804126739502,0.21219581365585327,0.6502096652984619,0.3497902750968933,0.694524250789947,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.18181818181818182,0.33035714285714285,0.4583333333333333,0.46590909090909094,0.46590909090909094,0.20454545454545453,0.25068853230656707,0.16767581701278683,0.8791769742965698,0.6280107498168945,0.2809930443763733,0.787804126739502,0.21219581365585327,0.6502096652984619,0.3497902750968933,-0.000753180389839736,0.2857142857142857,0.0,0.6666666666666666,-0.022727272727272735,0.0,0.0,-0.0003765821590039353,0.0,0.11983082706766918,-0.03409090909090906,0.0,-0.39007580280303955,0.18181818181818182,0.06666666666666665,0.0,-0.06730730930964157,0.32499999999999996,-0.03409090909090906
0,3,2,"[4, 15, 16]","[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17]",3,15,10,0.6951583340096988,0.26666666666666666,0.0,0.0,0.0,0.21052631578947367,0.13333333333333333,0.5,0.5,0.34090909090909094,0.2510055691169661,0.2350992600123088,0.8701722025871277,0.6366105675697327,0.2731304168701172,0.8045933842658997,0.19540655612945557,0.6491456627845764,0.35085421800613403,0.6950387786348097,0.2,0.0,0.0,0.0,0.16666666666666666,0.10714285714285714,0.375,0.375,0.3181818181818182,0.2509457905524516,0.3015838265419006,0.8575226068496704,0.6366105675697327,0.2731304168701172,0.8045933842658997,0.19540655612945557,0.6491456627845764,0.35085421800613403,-0.00011955537488916868,0.0,0.0,0.0,-0.022727272727272763,0.0,0.0,-5.977856451450103e-05,0.0,-0.043859649122807015,-0.125,0.0,-0.012649595737457275,0.0,-0.06666666666666665,0.0,0.06648456652959178,-0.026190476190476195,-0.125
0,3,3,"[6, 7, 9]","[0, 1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17]",3,15,10,0.6949946877030979,0.26666666666666666,0.0,0.0,0.0,0.21052631578947367,0.13333333333333333,0.5,0.5,0.40909090909090906,0.25092374371518683,0.2351353486378988,0.885920524597168,0.6435850858688354,0.26950305700302124,0.8052170276641846,0.19478297233581543,0.655776858329773,0.34422314167022705,0.6945162784380912,0.4,0.3076923076923077,1.0,0.18181818181818182,0.3891402714932127,0.6538461538461539,0.5909090909090909,0.5909090909090909,0.43181818181818177,0.2506845469188384,0.10143764416376744,0.876754879951477,0.6435850858688354,0.26950305700302124,0.8052170276641846,0.19478297233581543,0.655776858329773,0.34422314167022705,-0.00047840926500675174,0.3076923076923077,0.0,1.0,0.022727272727272707,0.0,0.0,-0.00023919679634842872,0.0,0.178613955703739,0.09090909090909094,0.0,-0.009165644645690918,0.18181818181818182,0.13333333333333336,0.0,-0.13369770447413137,0.5205128205128206,0.09090909090909094
0,3,4,"[2, 5, 13]","[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]",3,15,10,0.694970028102784,0.26666666666666666,0.0,0.0,0.0,0.21052631578947367,0.13333333333333333,0.5,0.5,0.4318181818181818,0.2509114146609121,0.23497896194458007,0.8678597807884216,0.6477130651473999,0.2652103900909424,0.8095418810844421,0.19045811891555786,0.6600373387336731,0.3399626612663269,0.6946526886605854,0.3333333333333333,0.16666666666666666,1.0,0.09090909090909091,0.3055555555555555,0.6428571428571428,0.5454545454545454,0.5454545454545454,0.4090909090909091,0.25075274338921605,0.16806158224741624,0.8612544536590576,0.6477130651473999,0.2652103900909424,0.8095418810844421,0.19045811891555786,0.6600373387336731,0.3399626612663269,-0.0003173394421985831,0.16666666666666666,0.0,1.0,-0.022727272727272707,0.0,0.0,-0.00015867127169605366,0.0,0.09502923976608185,0.045454545454545414,0.0,-0.006605327129364014,0.09090909090909091,0.06666666666666665,0.0,-0.06691737969716383,0.5095238095238095,0.045454545454545414
0,3,5,"[0, 8, 11]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17]",3,15,10,0.6948212492423606,0.26666666666666666,0.0,0.0,0.0,0.21052631578947367,0.13333333333333333,0.5,0.5,0.4318181818181818,0.2508370264618867,0.23492125272750858,0.8606187701225281,0.6480600237846375,0.2631845474243164,0.8195590972900391,0.18044090270996094,0.6540719270706177,0.3459280729293823,0.6941252297475596,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.18181818181818182,0.33035714285714285,0.4583333333333333,0.46590909090909094,0.46590909090909094,0.4545454545454546,0.2504890169594567,0.16767884492874147,0.8509408831596375,0.6480600237846375,0.2631845474243164,0.8195590972900391,0.18044090270996094,0.6540719270706177,0.3459280729293823,-0.0006960194948009146,0.2857142857142857,0.0,0.6666666666666666,0.022727272727272763,0.0,0.0,-0.0003480095024300245,0.0,0.11983082706766918,-0.03409090909090906,0.0,-0.009677886962890625,0.18181818181818182,0.06666666666666665,0.0,-0.06724240779876711,0.32499999999999996,-0.03409090909090906
0,3,6,"[1, 3, 10]","[0, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17]",3,15,10,0.6945969853227039,0.3333333333333333,0.0,0.0,0.0,0.25,0.16666666666666666,0.5,0.5,0.36,0.25072489365706824,0.168319582939148,0.8824231624603271,0.647257924079895,0.2655934691429138,0.8110395669937134,0.18896043300628662,0.6577735543251038,0.34222644567489624,0.6939198542159534,0.4666666666666667,0.42857142857142855,0.75,0.3,0.4642857142857143,0.5568181818181819,0.55,0.55,0.39999999999999997,0.2503863296514411,0.03434795935948687,0.8756541013717651,0.647257924079895,0.2655934691429138,0.8110395669937134,0.18896043300628662,0.6577735543251038,0.34222644567489624,-0.0006771311067504948,0.42857142857142855,0.0,0.75,0.03999999999999998,0.0,0.0,-0.00033856400562715105,0.0,0.2142857142857143,0.050000000000000044,0.0,-0.006769061088562012,0.3,0.13333333333333336,0.0,-0.13397162357966114,0.39015151515151525,0.050000000000000044
0,6,1,"[2, 4, 7, 12, 13, 16]","[0, 1, 3, 5, 6, 8, 9, 10, 11, 14, 15, 17]",6,12,10,0.6953683231641286,0.25,0.0,0.0,0.0,0.2,0.125,0.5,0.5,0.4444444444444445,0.2511105625165473,0.2519995719194412,0.8812932372093201,0.6406434774398804,0.2710247039794922,0.8033092021942139,0.19669067859649658,0.654641330242157,0.34535861015319824,0.695144282772317,0.25,0.0,0.0,0.0,0.2,0.125,0.5,0.5,0.2962962962962963,0.25099855152275813,0.25166410207748413,0.8726378083229065,0.6406434774398804,0.2710247039794922,0.8033092021942139,0.19669067859649658,0.654641330242157,0.34535861015319824,-0.0002240403918115641,0.0,0.0,0.0,-0.1481481481481482,0.0,0.0,-0.0001120109937891578,0.0,0.0,0.0,0.0,-0.008655428886413574,0.0,0.0,0.0,-0.0003354698419570923,0.0,0.0
0,6,2,"[0, 3, 8, 9, 10, 11]","[1, 2, 4, 5, 6, 7, 12, 13, 14, 15, 16, 17]",6,12,10,0.6943727112168127,0.3333333333333333,0.0,0.0,0.0,0.25,0.16666666666666666,0.5,0.5,0.4375,0.25061275798996835,0.16821891069412237,0.8884134292602539,0.6405933499336243,0.2691718339920044,0.8190568089485168,0.18094313144683838,0.6425994634628296,0.3574005365371704,0.6931779020416752,0.4166666666666667,0.5333333333333333,0.5714285714285714,0.5,0.37777777777777777,0.3857142857142857,0.375,0.375,0.53125,0.2500153662034554,0.08430117865403491,0.8577256202697754,0.6405933499336243,0.2691718339920044,0.8190568089485168,0.18094313144683838,0.6425994634628296,0.3574005365371704,-0.001194809175137479,0.5333333333333333,0.0,0.5714285714285714,0.09375,0.0,0.0,-0.0005973917865129685,0.0,0.12777777777777777,-0.125,0.0,-0.030687808990478516,0.5,0.08333333333333337,0.0,-0.08391773204008746,0.21904761904761902,-0.125
0,6,3,"[1, 5, 6, 14, 15, 17]","[0, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 16]",6,12,10,0.6951683233992746,0.25,0.0,0.0,0.0,0.2,0.125,0.5,0.5,0.2592592592592593,0.2510105605322799,0.25150028367837274,0.9132628440856934,0.6443920135498047,0.26860761642456055,0.7965115904808044,0.20348840951919556,0.6662731766700745,0.33372676372528076,0.6951156083193221,0.3333333333333333,0.2,1.0,0.1111111111111111,0.3142857142857143,0.6363636363636364,0.5555555555555556,0.5555555555555556,0.2222222222222222,0.2509842074725018,0.16797241071859997,0.9062578082084656,0.6443920135498047,0.26860761642456055,0.7965115904808044,0.20348840951919556,0.6662731766700745,0.33372676372528076,-5.2715079952525556e-05,0.2,0.0,1.0,-0.03703703703703709,0.0,0.0,-2.635305977810587e-05,0.0,0.11428571428571427,0.05555555555555558,0.0,-0.007005035877227783,0.1111111111111111,0.08333333333333331,0.0,-0.08352787295977276,0.5113636363636364,0.05555555555555558
0,9,1,"[2, 6, 7, 8, 12, 13, 14, 15, 17]","[0, 1, 3, 4, 5, 9, 10, 11, 16]",9,9,10,0.6951046040387879,0.2222222222222222,0.0,0.0,0.0,0.18181818181818182,0.1111111111111111,0.5,0.5,0.42857142857142855,0.2509787037349591,0.27935547298855257,0.9338047504425049,0.6384495496749878,0.27133387327194214,0.8013457655906677,0.1986541748046875,0.6559864282608032,0.344013512134552,0.6948169843871335,0.3333333333333333,0.25,1.0,0.14285714285714285,0.325,0.625,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.25083490315486273,0.16785999801423818,0.9204213619232178,0.6384495496749878,0.27133387327194214,0.8013457655906677,0.1986541748046875,0.6559864282608032,0.344013512134552,-0.00028761965165446934,0.25,0.0,1.0,-0.14285714285714285,0.0,0.0,-0.00014380058009638708,0.0,0.1431818181818182,0.0714285714285714,0.0,-0.01338338851928711,0.14285714285714285,0.1111111111111111,0.0,-0.11149547497431439,0.5138888888888888,0.0714285714285714
