target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,zero_shot_reconstruction_loss,zero_shot_decoder_r2,zero_shot_gcn_gru_reconstruction_loss,zero_shot_gcn_gru_decoder_r2,zero_shot_bilstm_reconstruction_loss,zero_shot_bilstm_decoder_r2,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,calibrated_reconstruction_loss,calibrated_decoder_r2,calibrated_gcn_gru_reconstruction_loss,calibrated_gcn_gru_decoder_r2,calibrated_bilstm_reconstruction_loss,calibrated_bilstm_decoder_r2,delta_ece,delta_gcn_gru_decoder_r2,delta_f1,delta_macro_precision,delta_brier_score,delta_macro_f1,delta_roc_auc,delta_joint_loss,delta_reconstruction_loss,delta_decoder_r2,delta_recall,delta_gcn_gru_reconstruction_loss,delta_loss,delta_macro_recall,delta_balanced_accuracy,delta_bilstm_reconstruction_loss,delta_bilstm_decoder_r2,delta_precision,delta_accuracy
0,3,1,"[12, 14, 17]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16]",3,15,10,0.6918496571292336,0.5333333333333333,0.631578947368421,0.75,0.5454545454545454,0.49760765550239233,0.5178571428571428,0.5227272727272727,0.5227272727272727,0.6818181818181819,0.24935126607301447,0.030523701508839873,0.9857667088508606,0.6346239447593689,0.2599639892578125,0.805435299873352,0.1945645809173584,0.6746366620063782,0.32536327838897705,0.6916302247801283,0.5333333333333333,0.631578947368421,0.75,0.5454545454545454,0.49760765550239233,0.5178571428571428,0.5227272727272727,0.5227272727272727,0.6818181818181819,0.24924154489047534,0.0305021087328593,0.602669358253479,0.6346239447593689,0.2599639892578125,0.805435299873352,0.1945645809173584,0.6746366620063782,0.32536327838897705,-2.15927759805723e-05,0.0,0.0,0.0,-0.00010972118253912977,0.0,0.0,-0.3830973505973816,0.0,0.0,0.0,0.0,-0.00021943234910537512,0.0,0.0,0.0,0.0,0.0,0.0
0,3,2,"[4, 15, 16]","[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17]",3,15,10,0.6924611655742899,0.5333333333333333,0.631578947368421,0.75,0.5454545454545454,0.49760765550239233,0.5178571428571428,0.5227272727272727,0.5227272727272727,0.6136363636363636,0.24965699244316156,0.03077520132064815,0.5962759256362915,0.6397387385368347,0.256550133228302,0.8155016899108887,0.18449819087982178,0.671397864818573,0.3286020755767822,0.6925661723221666,0.5333333333333333,0.631578947368421,0.75,0.5454545454545454,0.49760765550239233,0.5178571428571428,0.5227272727272727,0.5227272727272727,0.6363636363636364,0.24970949151004346,0.03080560366312657,0.5954340100288391,0.6397387385368347,0.256550133228302,0.8155016899108887,0.18449819087982178,0.671397864818573,0.3286020755767822,3.0402342478419442e-05,0.0,0.0,0.0,5.2499066881900314e-05,0.0,0.022727272727272707,-0.0008419156074523926,0.0,0.0,0.0,0.0,0.00010500674787661257,0.0,0.0,0.0,0.0,0.0,0.0
0,3,3,"[6, 7, 9]","[0, 1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17]",3,15,10,0.6921269965554987,0.5333333333333333,0.5882352941176471,0.8333333333333334,0.45454545454545453,0.5248868778280543,0.5833333333333334,0.6022727272727273,0.6022727272727273,0.7272727272727273,0.24948993342539255,0.030434954166412398,0.5908327698707581,0.6405370831489563,0.25700843334198,0.8145316243171692,0.1854683756828308,0.6714515089988708,0.32854849100112915,0.6923233296497571,0.5333333333333333,0.5882352941176471,0.8333333333333334,0.45454545454545453,0.5248868778280543,0.5833333333333334,0.6022727272727273,0.6022727272727273,0.7272727272727273,0.24958809751384722,0.03038192987442012,0.5925790071487427,0.6405370831489563,0.25700843334198,0.8145316243171692,0.1854683756828308,0.6714515089988708,0.32854849100112915,-5.302429199227632e-05,0.0,0.0,0.0,9.816408845467195e-05,0.0,0.0,0.0017462372779846191,0.0,0.0,0.0,0.0,0.00019633309425837187,0.0,0.0,0.0,0.0,0.0,0.0
0,3,4,"[2, 5, 13]","[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]",3,15,10,0.6932681482755345,0.4666666666666667,0.5555555555555556,0.7142857142857143,0.45454545454545453,0.4444444444444444,0.48214285714285715,0.4772727272727273,0.4772727272727273,0.5909090909090909,0.2500604953833297,0.03632363080978396,0.5913881659507751,0.6474604606628418,0.2517040967941284,0.8190305233001709,0.1809694766998291,0.677561342716217,0.32243865728378296,0.6934928501823551,0.4666666666666667,0.5555555555555556,0.7142857142857143,0.45454545454545453,0.4444444444444444,0.48214285714285715,0.4772727272727273,0.4772727272727273,0.5681818181818181,0.2501728412791804,0.036367615063985226,0.5900852680206299,0.6474604606628418,0.2517040967941284,0.8190305233001709,0.1809694766998291,0.677561342716217,0.32243865728378296,4.398425420126806e-05,0.0,0.0,0.0,0.00011234589585068511,0.0,-0.022727272727272818,-0.0013028979301452637,0.0,0.0,0.0,0.0,0.0002247019068205569,0.0,0.0,0.0,0.0,0.0,0.0
0,3,5,"[0, 8, 11]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17]",3,15,10,0.6927719116388349,0.4666666666666667,0.5,0.8,0.36363636363636365,0.4642857142857143,0.55,0.5568181818181819,0.5568181818181819,0.6818181818181819,0.24981238848252177,0.03665102322896319,0.5813413858413696,0.6465368270874023,0.2501874566078186,0.8254349827766418,0.17456501722335815,0.6741900444030762,0.32580995559692383,0.6923316735075123,0.4666666666666667,0.5,0.8,0.36363636363636365,0.4642857142857143,0.55,0.5568181818181819,0.5568181818181819,0.7045454545454546,0.2495922676747836,0.036659618218739864,0.5769838690757751,0.6465368270874023,0.2501874566078186,0.8254349827766418,0.17456501722335815,0.6741900444030762,0.32580995559692383,8.594989776677942e-06,0.0,0.0,0.0,-0.00022012080773817222,0.0,0.022727272727272707,-0.004357516765594482,0.0,0.0,0.0,0.0,-0.00044023813132254563,0.0,0.0,0.0,0.0,0.0,0.0
0,3,6,"[1, 3, 10]","[0, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17]",3,15,10,0.6931315298476547,0.4666666666666667,0.5,0.6666666666666666,0.4,0.4642857142857143,0.5,0.5,0.5,0.58,0.24999218707992804,0.03638074000676472,0.5897966027259827,0.6468035578727722,0.25250357389450073,0.8200540542602539,0.1799459457397461,0.6749387979507446,0.32506120204925537,0.6927527102962665,0.4666666666666667,0.5,0.6666666666666666,0.4,0.4642857142857143,0.5,0.5,0.5,0.5999999999999999,0.2498027796711342,0.03645056088765464,0.5874466896057129,0.6468035578727722,0.25250357389450073,0.8200540542602539,0.1799459457397461,0.6749387979507446,0.32506120204925537,6.982088088991478e-05,0.0,0.0,0.0,-0.00018940740879383466,0.0,0.019999999999999907,-0.0023499131202697754,0.0,0.0,0.0,0.0,-0.00037881955138818757,0.0,0.0,0.0,0.0,0.0,0.0
0,6,1,"[2, 4, 7, 12, 13, 16]","[0, 1, 3, 5, 6, 8, 9, 10, 11, 14, 15, 17]",6,12,10,0.69250315168689,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.5833333333333334,0.6111111111111112,0.6111111111111112,0.6296296296296297,0.24967797379765147,0.08046810825665796,0.6033823490142822,0.6404122114181519,0.25724107027053833,0.8136829733848572,0.18631690740585327,0.6718346476554871,0.32816529273986816,0.6916320482565065,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.5833333333333334,0.6111111111111112,0.6111111111111112,0.6296296296296297,0.24924245070371134,0.08027592301368713,0.6004750728607178,0.6404122114181519,0.25724107027053833,0.8136829733848572,0.18631690740585327,0.6718346476554871,0.32816529273986816,-0.0001921852429708215,0.0,0.0,0.0,-0.00043552309394012667,0.0,0.0,-0.002907276153564453,0.0,0.0,0.0,0.0,-0.0008711034303835463,0.0,0.0,0.0,0.0,0.0,0.0
0,6,2,"[0, 3, 8, 9, 10, 11]","[1, 2, 4, 5, 6, 7, 12, 13, 14, 15, 16, 17]",6,12,10,0.6923348287884816,0.5,0.5,0.75,0.375,0.5,0.5625,0.5625,0.5625,0.6875,0.24959385960875782,0.0032521039247512817,0.5934634804725647,0.6415287256240845,0.2543373703956604,0.8246448040008545,0.17535513639450073,0.6666802763938904,0.33331966400146484,0.691787861116859,0.5,0.5,0.75,0.375,0.5,0.5625,0.5625,0.5625,0.71875,0.24932036909459532,0.0032615909973779944,0.5890934467315674,0.6415287256240845,0.2543373703956604,0.8246448040008545,0.17535513639450073,0.6666802763938904,0.33331966400146484,9.487072626712667e-06,0.0,0.0,0.0,-0.00027349051416250547,0.0,0.03125,-0.0043700337409973145,0.0,0.0,0.0,0.0,-0.0005469676716226557,0.0,0.0,0.0,0.0,0.0,0.0
0,6,3,"[1, 5, 6, 14, 15, 17]","[0, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 16]",6,12,10,0.6929667240351517,0.4166666666666667,0.5333333333333333,0.6666666666666666,0.4444444444444444,0.37777777777777777,0.41666666666666663,0.38888888888888884,0.38888888888888884,0.5555555555555556,0.24990979803726474,0.08602677285671229,0.6285416483879089,0.6459012031555176,0.2523716688156128,0.8116661310195923,0.18833380937576294,0.6835904717445374,0.31640952825546265,0.6926382087888069,0.5,0.625,0.7142857142857143,0.5555555555555556,0.4375,0.4571428571428572,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.2497455322150494,0.0027925421794255945,0.6234619617462158,0.6459012031555176,0.2523716688156128,0.8116661310195923,0.18833380937576294,0.6835904717445374,0.31640952825546265,-0.08323423067728669,0.0,0.09166666666666667,0.040476190476190554,-0.00016426582221534813,0.05972222222222223,0.0,-0.005079686641693115,0.0,0.0,0.11111111111111116,0.0,-0.0003285152463448071,0.05555555555555558,0.05555555555555558,0.0,0.0,0.04761904761904767,0.08333333333333331
0,9,1,"[2, 6, 7, 8, 12, 13, 14, 15, 17]","[0, 1, 3, 4, 5, 9, 10, 11, 16]",9,9,10,0.6905793340916738,0.6666666666666666,0.7272727272727273,1.0,0.5714285714285714,0.6493506493506493,0.7,0.7857142857142857,0.7857142857142857,0.9285714285714286,0.24871613457166505,0.16351011726591314,0.6541154980659485,0.6421396136283875,0.25259310007095337,0.8154069781303406,0.18459296226501465,0.6794068217277527,0.32059311866760254,0.6902755219834611,0.6666666666666666,0.7272727272727273,1.0,0.5714285714285714,0.6493506493506493,0.7,0.7857142857142857,0.7857142857142857,0.9285714285714286,0.24856419866046822,0.16359331210454298,0.6493099331855774,0.6421396136283875,0.25259310007095337,0.8154069781303406,0.18459296226501465,0.6794068217277527,0.32059311866760254,8.31948386298409e-05,0.0,0.0,0.0,-0.00015193591119683214,0.0,0.0,-0.004805564880371094,0.0,0.0,0.0,0.0,-0.00030381210821273097,0.0,0.0,0.0,0.0,0.0,0.0
