target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,zero_shot_reconstruction_loss,zero_shot_decoder_r2,zero_shot_gcn_gru_reconstruction_loss,zero_shot_gcn_gru_decoder_r2,zero_shot_bilstm_reconstruction_loss,zero_shot_bilstm_decoder_r2,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,calibrated_reconstruction_loss,calibrated_decoder_r2,calibrated_gcn_gru_reconstruction_loss,calibrated_gcn_gru_decoder_r2,calibrated_bilstm_reconstruction_loss,calibrated_bilstm_decoder_r2,delta_ece,delta_bilstm_reconstruction_loss,delta_brier_score,delta_precision,delta_macro_precision,delta_recall,delta_macro_recall,delta_reconstruction_loss,delta_bilstm_decoder_r2,delta_balanced_accuracy,delta_roc_auc,delta_macro_f1,delta_accuracy,delta_decoder_r2,delta_loss,delta_gcn_gru_reconstruction_loss,delta_joint_loss,delta_f1,delta_gcn_gru_decoder_r2
0,3,1,"[4, 9, 13]","[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17]",3,15,10,0.6224253910470467,0.6666666666666666,0.7058823529411765,0.75,0.6666666666666666,0.660633484162896,0.6607142857142857,0.6666666666666666,0.6666666666666666,0.6851851851851852,0.21637882050945365,0.1069720983505249,0.9993253946304321,0.6088124513626099,0.29533952474594116,0.8103843331336975,0.1896156668663025,0.5989366173744202,0.40106338262557983,0.7288276406315946,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.5370370370370371,0.26117021819174735,0.29440879821777344,0.49544569849967957,0.6088124513626099,0.2953394651412964,0.8103844523429871,0.18961554765701294,0.5989365577697754,0.4010634422302246,0.18743669986724854,-5.960464477539063e-08,0.044791397682293704,0.08333333333333337,0.03373015873015872,-0.11111111111111105,0.02777777777777779,0.0,5.960464477539063e-08,0.02777777777777779,-0.14814814814814814,0.006033182503770607,0.0,-5.960464477539063e-08,0.1064022495845478,1.1920928955078125e-07,-0.5038796961307526,-0.03921568627450989,-1.1920928955078125e-07
0,3,2,"[1, 11, 15]","[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17]",3,15,10,0.6392694224135362,0.7333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.22041498243033597,0.20887765884399417,0.39463186264038086,0.6108698844909668,0.295032799243927,0.8058522939682007,0.19414764642715454,0.6040819883346558,0.39591795206069946,0.6647087039268357,0.8,0.8571428571428571,0.75,1.0,0.7619047619047619,0.875,0.75,0.75,0.6111111111111112,0.22927901815851026,0.34569110075632736,0.42162007093429565,0.6108698844909668,0.295032799243927,0.8058522939682007,0.19414764642715454,0.6040819883346558,0.39591795206069946,0.1368134419123332,0.0,0.008864035728174291,-0.02777777777777779,0.1527777777777778,0.2222222222222222,0.02777777777777779,0.0,0.0,0.02777777777777779,0.0,0.03968253968253965,0.06666666666666676,0.0,0.02543928151329944,0.0,0.026988208293914795,0.0793650793650793,0.0
0,3,3,"[2, 10, 17]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]",3,15,10,0.6090851239248833,0.7333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7037037037037037,0.2064565586290318,0.20773730278015137,0.3763669729232788,0.6134541630744934,0.2927003502845764,0.806110680103302,0.193889319896698,0.6084885597229004,0.3915114402770996,0.6759474468075866,0.6666666666666666,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6031746031746031,0.6666666666666666,0.611111111111111,0.611111111111111,0.5740740740740741,0.23450612246272354,0.1881768981615702,0.46184977889060974,0.6134541630744934,0.2927003502845764,0.806110680103302,0.193889319896698,0.6084885597229004,0.3915114402770996,-0.019560404618581162,0.0,0.028049563833691726,-0.11111111111111116,-0.05555555555555558,0.11111111111111105,-0.11111111111111116,0.0,0.0,-0.11111111111111116,-0.12962962962962965,-0.11904761904761907,-0.06666666666666665,0.0,0.06686232288270322,0.0,0.08548280596733093,-0.015873015873015928,0.0
0,3,4,"[0, 8, 12]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17]",3,15,10,0.7112599444300077,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.4999999999999999,0.2549757599256118,0.14072838226954143,0.45408058166503906,0.6239637136459351,0.2810105085372925,0.8225994110107422,0.17740052938461304,0.6153794527053833,0.3846204876899719,0.7813637157679099,0.5333333333333333,0.5882352941176471,0.625,0.5555555555555556,0.5248868778280543,0.5267857142857143,0.5277777777777778,0.5277777777777778,0.46296296296296297,0.28892032455635164,0.2896792809168498,0.5342877507209778,0.6239637136459351,0.2810105085372925,0.8225994110107422,0.17740052938461304,0.6153794527053833,0.3846204876899719,0.14895089864730837,0.0,0.03394456463073986,-0.04166666666666663,-0.05654761904761896,-0.11111111111111105,-0.05555555555555547,0.0,0.0,-0.05555555555555547,-0.037037037037036924,-0.05844645550527894,-0.06666666666666665,0.0,0.07010377133790213,0.0,0.08020716905593872,-0.07843137254901955,0.0
0,3,5,"[6, 7, 16]","[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 17]",3,15,10,0.6467226873559321,0.6666666666666666,0.7619047619047619,0.7272727272727273,0.8,0.6031746031746031,0.6136363636363636,0.6000000000000001,0.6000000000000001,0.5800000000000001,0.22433287235589075,0.18937870264053347,0.40860286355018616,0.6192024946212769,0.2882840037345886,0.8091738224029541,0.19082623720169067,0.614258348941803,0.3857417106628418,0.6931578373059001,0.6666666666666666,0.7368421052631579,0.7777777777777778,0.7,0.6411483253588517,0.6388888888888888,0.6499999999999999,0.6499999999999999,0.56,0.24628363472714318,0.2156148592631022,0.4514857530593872,0.6192024946212769,0.2882840037345886,0.8091738224029541,0.19082623720169067,0.614258348941803,0.3857417106628418,0.02623615662256873,0.0,0.02195076237125243,0.0505050505050505,0.025252525252525193,-0.10000000000000009,0.04999999999999982,0.0,0.0,0.04999999999999982,-0.020000000000000018,0.03797372218424855,0.0,0.0,0.046435149949968,0.0,0.04288288950920105,-0.02506265664160401,0.0
0,3,6,"[3, 5, 14]","[0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]",3,15,10,0.69712701255764,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.537037037037037,0.24861959205677778,0.23347852230072022,0.44858652353286743,0.6208676099777222,0.2852367162704468,0.8173542618751526,0.18264585733413696,0.6121724247932434,0.38782763481140137,0.7170760123199869,0.6,0.7,0.6363636363636364,0.7777777777777778,0.55,0.5681818181818181,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.2509578765436455,0.204433536529541,0.4754103422164917,0.6208676099777222,0.2852367162704468,0.8173542618751526,0.18264585733413696,0.6121724247932434,0.38782763481140137,-0.029044985771179227,0.0,0.002338284486867709,-0.030303030303030276,-0.015151515151515138,0.11111111111111116,-0.02777777777777768,0.0,0.0,-0.02777777777777768,0.0185185185185186,-0.033333333333333215,0.0,0.0,0.019948999762346875,0.0,0.026823818683624268,0.033333333333333326,0.0
0,6,1,"[2, 3, 5, 10, 14, 17]","[0, 1, 4, 6, 7, 8, 9, 11, 12, 13, 15, 16]",6,12,10,0.651290796600069,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.6285714285714286,0.2260496804094466,0.25660182535648346,0.43608561158180237,0.6186152696609497,0.28801417350769043,0.8114623427391052,0.18853759765625,0.6125091910362244,0.38749080896377563,0.8003511206542312,0.5833333333333334,0.7058823529411765,0.6,0.8571428571428571,0.4957983193277311,0.55,0.5285714285714286,0.5285714285714286,0.4857142857142857,0.2846028586053226,0.2953055600325266,0.6037960052490234,0.6186152696609497,0.28801417350769043,0.8114623427391052,0.18853759765625,0.6125091910362244,0.38749080896377563,0.038703734676043156,0.0,0.05855317819587599,-0.11428571428571432,-0.1071428571428571,0.1428571428571428,-0.12857142857142856,0.0,0.0,-0.12857142857142856,-0.14285714285714285,-0.16134453781512603,-0.08333333333333326,0.0,0.14906032405416214,0.0,0.16771039366722107,-0.008403361344537785,0.0
0,6,2,"[0, 6, 7, 11, 12, 16]","[1, 2, 3, 4, 5, 8, 9, 10, 13, 14, 15, 17]",6,12,10,0.7187456920628311,0.5833333333333334,0.6666666666666666,0.625,0.7142857142857143,0.5555555555555556,0.5625,0.5571428571428572,0.5571428571428572,0.5142857142857142,0.25738027431880534,0.21127257247765857,0.4705815315246582,0.6129034161567688,0.29559046030044556,0.7986103296279907,0.2013896107673645,0.6102086901664734,0.38979125022888184,0.7419570599114774,0.5833333333333334,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.5804195804195804,0.5833333333333333,0.5857142857142856,0.5857142857142856,0.5142857142857142,0.2698434222796034,0.24531490604082742,0.5095421671867371,0.6129034161567688,0.29559046030044556,0.7986103296279907,0.2013896107673645,0.6102086901664734,0.38979125022888184,0.03404233356316885,0.0,0.01246314796079806,0.04166666666666663,0.02083333333333326,-0.1428571428571429,0.02857142857142847,0.0,0.0,0.02857142857142847,0.0,0.024864024864024836,0.0,0.0,0.023211367848646303,0.0,0.03896063566207886,-0.05128205128205121,0.0
0,6,3,"[1, 4, 8, 9, 13, 15]","[0, 2, 3, 5, 6, 7, 10, 11, 12, 14, 16, 17]",6,12,10,0.5929122593432702,0.75,0.8,0.8571428571428571,0.75,0.7333333333333334,0.7285714285714285,0.75,0.75,0.6875,0.2021610611673789,0.13689758380254108,0.3745196759700775,0.617082953453064,0.28517842292785645,0.8256646990776062,0.1743353009223938,0.6039783358573914,0.39602160453796387,0.7218402439039378,0.5833333333333334,0.6666666666666666,0.7142857142857143,0.625,0.5555555555555556,0.5571428571428572,0.5625,0.5625,0.5625,0.2558338692571198,0.27749540408452356,0.49324893951416016,0.617082953453064,0.28517842292785645,0.8256646990776062,0.1743353009223938,0.6039783358573914,0.39602160453796387,0.14059782028198248,0.0,0.053672808089740925,-0.1428571428571428,-0.17142857142857137,-0.125,-0.1875,0.0,0.0,-0.1875,-0.125,-0.1777777777777778,-0.16666666666666663,0.0,0.12892798456066756,0.0,0.11872926354408264,-0.13333333333333341,0.0
0,9,1,"[0, 4, 7, 8, 9, 10, 11, 14, 16]","[1, 2, 3, 5, 6, 12, 13, 15, 17]",9,9,10,0.8017021628289811,0.4444444444444444,0.5454545454545454,0.6,0.5,0.41558441558441556,0.425,0.41666666666666663,0.41666666666666663,0.44444444444444453,0.2954803620264151,0.21409495009316337,0.5771356821060181,0.6057552099227905,0.2961050271987915,0.8098816275596619,0.19011831283569336,0.597908079624176,0.4020918607711792,1.0781047408733568,0.3333333333333333,0.25,0.5,0.16666666666666666,0.325,0.39285714285714285,0.41666666666666663,0.41666666666666663,0.33333333333333337,0.4049222489110919,0.4978700942463345,0.8775714635848999,0.6057552099227905,0.2961050271987915,0.8098816275596619,0.19011831283569336,0.597908079624176,0.4020918607711792,0.2837751441531711,0.0,0.10944188688467682,-0.09999999999999998,-0.03214285714285714,-0.33333333333333337,0.0,0.0,0.0,0.0,-0.11111111111111116,-0.09058441558441555,-0.1111111111111111,0.0,0.27640257804437574,0.0,0.30043578147888184,-0.2954545454545454,0.0
